id_client,age,sexe,anciennete_mois,type_forfait,qualite_reseau,service_client,rapport_qualite_prix,couverture_reseau,satisfaction_globale,score_nps,intention_depart
257,54,Femme,39,Prépayé Plus,4,4.0,4,5,4,8,0
258,20,Femme,2,Prépayé Plus,2,4.0,5,2,3,8,0
259,43,Homme,93,Postpayé Premium,1,3.0,3,2,2,5,1
260,40,Femme,88,Postpayé Standard,2,4.0,2,2,2,4,1
261,42,Femme,92,Prépayé Basic,4,5.0,4,5,5,9,0
262,60,Homme,50,Prépayé Basic,2,4.0,2,2,2,3,1
263,29,Homme,84,Postpayé Premium,3,3.0,3,2,2,3,1
264,34,Homme,45,Prépayé Basic,3,4.0,4,3,3,5,0
265,49,Homme,81,Postpayé Premium,4,4.0,4,3,4,7,0
266,23,Homme,80,Prépayé Basic,3,4.0,2,3,3,6,0
267,36,Femme,46,Postpayé Premium,3,2.0,3,4,3,6,0
268,30,Femme,22,Prépayé Plus,3,,3,2,3,5,1
269,52,Femme,44,Postpayé Standard,3,3.0,2,3,2,4,1
270,39,Homme,19,Postpayé Premium,4,4.0,2,3,3,5,0
271,31,Femme,27,Prépayé Plus,2,2.0,3,2,2,3,1
272,32,Femme,91,Postpayé Standard,2,3.0,3,3,3,4,0
273,22,Homme,48,Prépayé Basic,4,4.0,3,5,4,10,0
274,35,Homme,18,Postpayé Premium,4,5.0,5,3,4,8,0
275,42,Homme,39,Prépayé Basic,3,5.0,3,3,3,5,1
276,29,Homme,90,Prépayé Basic,4,3.0,4,3,4,6,0
277,19,Homme,92,Postpayé Premium,4,5.0,3,3,4,8,0
278,27,Homme,28,Prépayé Plus,5,4.0,5,3,4,7,0
279,23,Femme,3,Postpayé Premium,3,3.0,3,2,3,4,1
280,51,Femme,70,Prépayé Basic,4,3.0,2,3,3,5,0
281,30,Homme,25,Postpayé Premium,4,5.0,4,4,4,7,0
282,53,Femme,48,Postpayé Standard,5,4.0,3,3,4,8,0
283,63,Homme,61,Prépayé Plus,2,2.0,3,1,2,4,1
284,54,Homme,72,Prépayé Plus,5,5.0,5,5,5,9,0
285,38,Homme,30,Postpayé Premium,4,4.0,4,4,4,10,0
286,30,Homme,39,Postpayé Premium,4,3.0,5,5,4,7,0
287,31,Homme,78,Prépayé Basic,4,2.0,2,2,3,7,0
288,43,Femme,43,Prépayé Basic,3,3.0,3,2,3,5,0
289,39,Homme,51,Prépayé Plus,2,4.0,3,4,3,6,0
290,52,Homme,43,Postpayé Standard,1,1.0,1,1,2,1,1
291,35,Homme,67,Postpayé Standard,2,2.0,5,2,3,5,0
292,28,Femme,14,Prépayé Basic,5,5.0,5,4,5,6,0
293,28,Homme,95,Postpayé Premium,4,4.0,3,3,4,7,0
294,35,Femme,3,Prépayé Plus,4,4.0,4,4,4,7,0
295,21,Femme,75,Prépayé Plus,4,5.0,4,5,4,8,0
296,40,Femme,77,Prépayé Plus,5,5.0,5,4,5,10,0
297,23,Femme,40,Prépayé Basic,3,4.0,3,2,3,8,0
298,40,Homme,68,Postpayé Premium,3,2.0,2,3,2,5,1
299,59,Femme,25,Prépayé Basic,1,2.0,1,2,1,5,1
300,53,Homme,33,Prépayé Basic,3,3.0,3,5,4,7,0
301,57,Homme,93,Prépayé Plus,2,4.0,2,3,3,6,0
302,18,Femme,4,Prépayé Basic,3,3.0,4,3,4,6,0
303,43,Femme,84,Postpayé Standard,2,4.0,3,3,3,4,1
304,35,Homme,16,Prépayé Basic,4,4.0,5,4,4,8,0
305,28,Femme,38,Prépayé Basic,5,5.0,5,5,5,8,0
306,62,Homme,55,Postpayé Standard,5,2.0,3,2,3,6,0
307,29,Femme,7,Prépayé Basic,4,5.0,5,5,4,7,0
308,36,Femme,24,Prépayé Basic,3,3.0,3,3,3,7,1
309,26,Femme,2,Prépayé Basic,4,3.0,3,2,3,7,0
310,47,Homme,53,Prépayé Plus,5,4.0,4,4,4,5,0
311,51,Femme,64,Postpayé Standard,3,1.0,2,2,2,4,1
312,29,Homme,66,Prépayé Basic,1,2.0,2,1,1,0,1
313,38,Homme,76,Postpayé Standard,4,4.0,3,3,4,5,0
314,46,Homme,79,Postpayé Premium,4,4.0,5,3,4,8,0
315,52,Homme,71,Postpayé Standard,3,3.0,3,1,2,3,1
316,39,Homme,46,Prépayé Plus,4,,3,3,3,6,1
317,41,Homme,72,Prépayé Basic,3,2.0,2,2,2,5,1
318,24,Femme,79,Prépayé Basic,4,4.0,4,3,4,6,0
319,47,Femme,95,Prépayé Basic,2,3.0,3,3,3,5,1
320,26,Femme,63,Prépayé Basic,3,3.0,3,4,4,5,0
321,34,Homme,44,Prépayé Basic,4,5.0,5,5,5,10,0
322,29,Homme,27,Postpayé Standard,2,,1,2,3,5,0
323,36,Femme,51,Prépayé Basic,4,4.0,3,5,4,8,0
324,25,Femme,55,Postpayé Standard,5,4.0,5,4,5,10,0
325,37,Femme,36,Postpayé Premium,3,5.0,3,4,3,6,1
326,52,Homme,81,Prépayé Basic,5,5.0,5,5,5,8,0
327,60,Femme,95,Prépayé Basic,4,4.0,4,4,4,6,0
328,64,Femme,81,Postpayé Premium,3,3.0,3,4,3,7,0
329,21,Homme,71,Prépayé Plus,3,2.0,2,2,2,4,1
330,64,Femme,80,Prépayé Plus,4,4.0,5,3,4,7,0
331,47,Homme,79,Prépayé Plus,4,3.0,4,3,3,5,0
332,61,Femme,78,Prépayé Basic,3,3.0,2,3,3,8,1
333,39,Femme,27,Prépayé Basic,4,4.0,4,3,4,6,0
334,45,Homme,73,Prépayé Basic,4,4.0,4,4,4,5,0
335,53,Homme,93,Prépayé Basic,3,3.0,2,3,3,3,1
336,61,Homme,28,Postpayé Standard,5,5.0,4,4,4,6,0
337,49,Femme,57,Postpayé Standard,4,3.0,3,3,3,4,0
338,40,Femme,13,Postpayé Standard,5,5.0,4,5,5,9,0
339,39,Femme,54,Prépayé Plus,4,4.0,3,3,4,6,0
340,39,Homme,11,Postpayé Premium,4,3.0,3,3,3,5,1
341,33,Femme,47,Postpayé Standard,2,1.0,2,1,2,4,1
342,25,Femme,47,Postpayé Premium,4,3.0,3,2,3,5,1
343,42,Homme,65,Prépayé Basic,4,5.0,4,5,4,8,0
344,18,Femme,27,Prépayé Plus,3,3.0,3,3,3,6,0
345,44,Femme,59,Postpayé Standard,3,3.0,4,4,3,8,1
346,38,Homme,27,Prépayé Basic,4,4.0,2,4,4,8,0
347,27,Femme,18,Prépayé Basic,4,5.0,5,5,5,9,0
348,58,Homme,17,Prépayé Plus,2,2.0,2,3,2,2,1
349,19,Homme,9,Prépayé Basic,3,2.0,4,3,3,5,0
350,30,Homme,77,Prépayé Basic,4,3.0,3,3,3,5,1
351,42,Homme,51,Prépayé Plus,3,4.0,3,4,3,7,0
352,26,Homme,30,Prépayé Plus,1,3.0,2,2,3,6,0
353,46,Femme,54,Prépayé Basic,5,5.0,4,4,4,6,0
354,32,Femme,88,Postpayé Standard,4,3.0,3,3,3,6,0
355,52,Homme,40,Prépayé Basic,3,4.0,3,4,3,4,1
356,40,Femme,2,Prépayé Basic,3,3.0,3,3,3,5,0
357,18,Femme,23,Postpayé Standard,5,4.0,4,5,4,6,0
358,42,Homme,57,Postpayé Premium,2,3.0,2,2,3,4,1
359,20,Homme,27,Prépayé Plus,2,,2,3,2,3,1
360,48,Femme,69,Prépayé Basic,2,3.0,2,2,2,4,1
361,34,Femme,42,Postpayé Premium,4,2.0,4,4,4,8,0
362,33,Homme,44,Prépayé Basic,4,4.0,4,4,4,9,0
363,55,Femme,69,Prépayé Basic,3,4.0,4,4,4,8,0
364,31,Femme,17,Postpayé Standard,2,2.0,3,2,2,4,1
365,45,Homme,31,Prépayé Plus,3,5.0,3,3,3,4,0
366,35,Homme,34,Prépayé Plus,2,2.0,3,3,3,6,1
367,64,Homme,70,Postpayé Standard,3,2.0,3,2,2,3,1
368,54,Homme,58,Prépayé Basic,4,4.0,4,5,4,7,0
369,58,Homme,46,Postpayé Premium,3,1.0,3,3,2,5,1
370,20,Femme,49,Postpayé Standard,4,4.0,3,3,4,6,0
371,47,Homme,26,Postpayé Standard,5,5.0,5,5,4,8,0
372,25,Femme,37,Prépayé Basic,2,2.0,3,3,2,3,1
373,51,Homme,86,Postpayé Premium,3,4.0,5,4,3,5,0
374,41,Femme,25,Postpayé Standard,3,3.0,3,4,3,3,0
375,33,Femme,71,Postpayé Standard,2,3.0,3,3,2,4,1
376,25,Femme,85,Postpayé Standard,3,4.0,4,4,4,7,0
377,48,Homme,77,Postpayé Premium,5,,3,4,4,7,0
378,40,Femme,68,Postpayé Standard,4,4.0,4,5,3,5,0
379,53,Homme,68,Prépayé Basic,5,4.0,5,4,4,5,0
380,44,Homme,3,Postpayé Premium,4,4.0,4,5,4,6,0
381,52,Homme,17,Prépayé Plus,3,3.0,3,3,3,3,1
382,57,Homme,2,Prépayé Plus,5,4.0,4,4,5,10,0
383,41,Homme,70,Prépayé Basic,1,2.0,3,2,2,3,1
384,53,Homme,25,Prépayé Basic,4,5.0,4,4,4,9,0
385,52,Homme,95,Prépayé Basic,3,2.0,4,3,3,5,0
386,55,Homme,21,Postpayé Premium,1,2.0,2,1,1,2,1
387,62,Femme,40,Prépayé Plus,5,4.0,2,5,5,9,0
388,28,Femme,31,Prépayé Plus,3,2.0,1,2,2,4,1
389,26,Homme,79,Prépayé Basic,5,4.0,4,5,5,8,0
390,40,Homme,85,Prépayé Basic,3,2.0,3,3,3,7,1
391,64,Homme,93,Prépayé Plus,4,4.0,5,5,4,7,0
392,37,Femme,89,Postpayé Standard,4,2.0,2,4,3,6,0
393,52,Homme,55,Postpayé Premium,4,3.0,3,4,4,5,0
394,55,Homme,8,Prépayé Basic,4,3.0,3,4,4,7,0
395,58,Femme,5,Postpayé Premium,2,4.0,4,5,4,8,0
396,20,Femme,45,Postpayé Premium,1,1.0,1,1,2,3,1
